代码,名称,最新价,涨跌幅,最高,最低,成交额,行情时间,类型,所属板块
688018,乐鑫科技,111.2,-0.89,112.8,109.31,258710000.0,20260821140048,自选股,芯片设计
688019,安集科技,240.36,-3.24,248.98,240.16,998380000.0,20260821140048,自选股,半导体材料
601398,工商银行,7.8,0.26,7.84,7.75,1679030000.0,20260821140053,代表池,银行
601288,农业银行,6.78,-0.44,6.85,6.73,1841680000.0,20260821140053,代表池,银行
601939,建设银行,10.55,-0.28,10.64,10.43,812900000.0,20260821140053,代表池,银行
600036,招商银行,39.03,0.44,39.1,38.76,1580370000.0,20260821140053,代表池,银行
601166,兴业银行,18.14,-0.17,18.28,18.08,968300000.0,20260821140053,代表池,银行
601318,中国平安,53.34,2.3,53.59,52.8,5082230000.0,20260821140053,代表池,保险
601601,中国太保,30.39,0.73,30.75,30.17,1084440000.0,20260821140053,代表池,保险
601628,中国人寿,36.99,0.27,37.3,36.77,1018260000.0,20260821140053,代表池,保险
600030,中信证券,27.08,0.15,27.24,26.93,1669830000.0,20260821140054,代表池,券商
600837,海通证券,10.41,0.0,0.0,0.0,0.0,20260821090000,代表池,券商
601688,华泰证券,18.49,0.82,18.58,18.33,584430000.0,20260821140054,代表池,券商
300059,东方财富,18.8,0.0,18.99,18.63,2192040000.0,20260821140054,代表池,券商
000776,广发证券,20.47,0.84,20.57,20.21,497670000.0,20260821140054,代表池,券商
600519,贵州茅台,1273.37,-1.4,1291.5,1273.1,3290220000.0,20260821140052,代表池,白酒消费
000858,五粮液,71.21,-1.22,72.0,71.11,1071950000.0,20260821140054,代表池,白酒消费
000568,泸州老窖,85.22,-1.03,86.3,84.8,374860000.0,20260821140054,代表池,白酒消费
600809,山西汾酒,116.34,-1.82,118.5,116.01,421770000.0,20260821140054,代表池,白酒消费
603288,海天味业,35.09,-1.85,35.69,34.65,483020000.0,20260821140054,代表池,食品消费
600887,伊利股份,25.39,-0.51,25.61,25.26,911250000.0,20260821140055,代表池,食品消费
000333,美的集团,84.49,-1.04,85.99,84.4,1179730000.0,20260821140054,代表池,家电消费
000651,格力电器,41.34,-0.19,41.73,41.28,1341810000.0,20260821140054,代表池,家电消费
600690,海尔智家,20.8,-0.48,21.16,20.74,697880000.0,20260821140053,代表池,家电消费
